depart,fin,A_final,drawdown_t0_pct,B10_declenche,B10_mois_attente,B10_final,B10_ecart_pct,B20_declenche,B20_mois_attente,B20_final,B20_ecart_pct,B30_declenche,B30_mois_attente,B30_final,B30_ecart_pct
1871-02,1881-02,2.533672464351759,0.0,True,32,2.33074765744383,-8.00911758575895,True,72,2.2924461281685127,-9.520817689628414,True,76,2.723955410572964,7.5101635629090335
1871-03,1881-03,2.4987174976441273,0.0,True,31,2.3658473824309976,-5.3175325077126185,True,71,2.3269690540586785,-6.873463836843452,True,75,2.7649766191465575,10.65583131160157
1871-04,1881-04,2.420421635898013,0.0,True,30,2.367111189793407,-2.2025272503741644,True,70,2.3282120930832826,-3.809647932704885,True,74,2.766453636571315,14.2963521537403
1871-05,1881-05,2.464950327120601,0.0,True,29,2.482707656658319,0.7203929970654332,True,69,2.441908945699689,-0.9347604764038953,True,73,2.9015517542736524,17.712382369305658
1871-06,1881-06,2.5139360340053876,0.0,True,28,2.5224946383355342,0.3404463842507033,True,68,2.4810421018807727,-1.3084633689826153,True,72,2.9480509811049598,17.268337031149848
1871-07,1881-07,2.4704792110494664,0.0,True,27,2.443746547105835,-1.0820841488593413,True,67,2.4035880899616227,-2.707617242382232,True,71,2.8560177279587626,15.605819113350016
1871-08,1881-08,2.3807425906502386,0.0,True,26,2.3956413001155625,0.6258009380701202,True,66,2.356273363781276,-1.027798089766585,True,70,2.799796906542252,17.60183219881657
1871-09,1881-09,2.3741800612065775,0.0,True,25,2.4247818293710006,2.1313365818895313,True,65,2.384935022305766,0.45299685878597007,True,69,2.833853575902746,19.361358567831566
1871-10,1881-10,2.462162180517048,0.0,True,24,2.3960077516624647,-2.6868428642946363,True,64,2.3566337933744044,-4.286004714786218,True,68,2.8002251801353664,13.730330288288561
1871-11,1881-11,2.4504253810195067,0.0,True,23,2.421818404271837,-1.1674290092346218,True,63,2.3820202956201046,-2.7915596177404023,True,67,2.8303902074823535,15.506076186035965
1871-12,1881-12,2.328665018970739,0.0,True,22,2.3618272106280536,1.4240859628651847,True,62,2.323014946347877,-0.24263140369409353,True,66,2.760278226036909,18.534791545799113
1872-01,1882-01,2.2371334858550855,0.0,True,21,2.3369382938216576,4.461280857741223,True,61,2.2985350328810945,2.744652807453729,True,65,2.7311904355240415,22.084375062676042
1872-02,1882-02,2.1791513627236494,0.0,True,20,2.296147141170491,5.368868838033003,True,60,2.258414207419769,3.637326256999951,True,64,2.6835176294985654,23.14507727193973
1872-03,1882-03,2.1066409169729825,0.0,True,19,2.302756660862979,9.30940542879961,True,59,2.264915111874057,7.5131074131274955,True,63,2.691242205288716,27.750400346146463
