depart,fin,A_final,drawdown_t0_pct,B10_declenche,B10_mois_attente,B10_final,B10_ecart_pct,B20_declenche,B20_mois_attente,B20_final,B20_ecart_pct,B30_declenche,B30_mois_attente,B30_final,B30_ecart_pct
2002-04,2012-04,0.8284408842605724,0.0,True,3,0.9640625663618787,16.370713309538786,True,5,1.0150109590549654,22.52062619542452,True,11,1.1951203204985439,44.261388254063824
2002-05,2012-05,0.7261941395989355,0.0,True,2,0.8649587797896687,19.108477006902103,True,4,0.9106697752309285,25.40307413302394,True,10,1.072264239053784,47.65531427256862
2002-06,2012-06,0.8479491312239688,0.0,True,3,0.9600663315692148,13.222161119902442,True,7,1.0804972886176245,27.424776891744095,True,69,0.730568664644643,-13.842866541993315
2002-07,2012-07,0.8802503355962881,0.0,True,3,1.0065096003734386,14.34356337866336,True,9,1.1109819496975917,26.212045002516724,True,68,0.7052311902743671,-19.88288311226394
2002-08,2012-08,0.9189764327965654,0.0,True,2,1.0232172589918325,11.343144663465266,True,65,0.6597364212736724,-28.209647415439342,True,67,0.7169377472409136,-21.985186817122347
2002-09,2012-09,0.9453144899070581,0.0,True,4,1.0638949723047253,12.544024625003459,True,64,0.661949912647702,-29.975693833616802,True,66,0.7193431556253262,-23.90435529068734
2002-10,2012-10,1.0333094920652557,0.0,True,5,1.1202761940957815,8.416326637695647,True,63,0.6662435571453642,-35.523329432137885,True,65,0.7240090732772035,-29.932989212153604
2002-11,2012-11,1.0250066192396339,0.0,True,4,1.1851580718948893,15.624431066997246,True,62,0.7048296962483537,-31.236571255392718,True,64,0.7659407580397556,-25.274554947953163
2002-12,2012-12,1.2117077264700227,0.0,True,59,0.6713502616783132,-44.594703242991805,True,61,0.7755889865716513,-35.992073861646766,True,63,0.8428351124590744,-30.44237533134804
2003-01,2013-01,1.335580351897016,0.0,True,58,0.7193063978881297,-46.142783781863095,True,60,0.8309911413125779,-37.78052064540599,True,62,0.9030408169365839,-32.38588635614972
2003-02,2013-02,1.3821959478849797,0.0,True,57,0.7464181780563383,-45.99765834949099,True,59,0.8623124936752734,-37.61286198279093,True,61,0.9370778339624102,-32.20369113392961
2003-03,2013-03,1.5550433917701758,0.0,True,56,0.8005122018926889,-48.52155212328641,True,58,0.9248055491213757,-40.52863386219545,True,60,1.0049892436481649,-35.37227006224306
2003-04,2013-04,1.7699037977786918,0.0,True,55,0.8949127844872816,-49.437207513174606,True,57,1.033863452820229,-41.58646056820863,True,59,1.123502827672714,-36.521813836279684
2003-05,2013-05,1.6350553325950115,0.0,True,54,0.8892803550105097,-45.61160486237951,True,56,1.0273564913737478,-37.16686702319604,True,58,1.1164316911848764,-31.719026938802287
2003-06,2013-06,1.50579702326626,0.0,True,53,0.8829376666461717,-41.3640980156163,True,55,1.0200289910785385,-32.259861367904065,True,57,1.108468872420964,-26.38656769180233
2003-07,2013-07,1.4292606771157383,0.0,True,52,0.8822905282724486,-38.269446406871054,True,54,1.0192813732937585,-28.68471164051907,True,56,1.1076564337058439,-22.50144067902958
2003-08,2013-08,1.2944163270830618,0.0,True,51,0.8641865883427347,-33.23735414477043,True,53,0.9983664839661825,-22.871300131389795,True,55,1.0849281544191598,-16.183987197996707
2003-09,2013-09,1.414593333039764,0.0,True,50,0.9329824945589615,-34.04588634995811,True,52,1.0778441429889607,-23.80537092785361,True,54,1.171296788889524,-17.19904501652284
2003-10,2013-10,1.3568651813185928,0.0,True,49,0.9246610435086806,-31.85313793592219,True,51,1.0682306429200719,-21.272160445448808,True,53,1.1608497666238995,-14.446196821426781
2003-11,2013-11,1.5505926893234738,0.0,True,48,1.010679554369141,-34.81979108194415,True,50,1.1676050134578682,-24.699437737753282,True,52,1.2688402231903373,-18.170630370769103
2003-12,2013-12,1.5258836113234127,0.0,True,47,1.0512105237606562,-31.108079544223443,True,49,1.2144291159711316,-20.411418868451825,True,51,1.3197241299900062,-13.510826107805329
2004-01,2014-01,1.3830739427705565,0.0,True,46,0.9623004898014502,-30.423062712483627,True,48,1.1117142634259285,-19.620041340743043,True,50,1.2081035605968955,-12.650833535563722
2004-02,2014-02,1.3440660682200198,0.0,True,45,0.9574889945812286,-28.761761254098538,True,47,1.1061557004599782,-17.700794133960407,True,49,1.202063051869165,-10.565181259200518
2004-03,2014-03,1.265671053204375,0.0,True,44,0.9565710524583003,-24.421827453784907,True,46,1.10509523196612,-12.68701064401493,True,48,1.2009106372555547,-5.116686186735675
2004-04,2014-04,1.2161507729690804,0.0,True,43,0.9227234031596696,-24.12754868321503,True,45,1.065992150436472,-12.347040011002486,True,47,1.1584171894511712,-4.74723897736461
2004-05,2014-05,1.302233728508406,0.0,True,42,0.9438364043941418,-27.52173563533612,True,44,1.090383309814282,-16.268233117934972,True,46,1.1849231428789986,-9.00841247321833
2004-06,2014-06,1.2785450890346213,0.0,True,41,0.9779317636174559,-23.512141104397543,True,43,1.1297725625133115,-11.636079775148334,True,45,1.2277275738379962,-3.974636141694099
2004-07,2014-07,1.3792224464893366,0.0,True,40,1.0074397352482602,-26.95596436872163,True,42,1.1638621564544942,-15.614616089160894,True,44,1.2647728481270304,-8.298124690011054
2004-08,2014-08,1.391886148356899,0.0,True,39,0.9947128075536901,-28.534901455271044,True,41,1.1491591533929835,-17.438710432634963,True,43,1.2487950461553805,-10.28037403565194
2004-09,2014-09,1.494287005119383,0.0,True,38,1.0429321929798205,-30.205362864913788,True,40,1.2048654313383704,-19.36853983133514,True,42,1.3093312423232961,-12.377526014911055
2004-10,2014-10,1.523825085271951,0.0,True,37,1.058344470124195,-30.54685341819816,True,39,1.2226707307379479,-19.763052691855208,True,41,1.328680319968333,-12.806244442995984
2004-11,2014-11,1.6019313255499228,0.0,True,36,1.1257110181774428,-29.727885320489598,True,38,1.300497099052502,-18.816925650289175,True,40,1.4132544913740261,-11.778085063111321
2004-12,2014-12,1.518942862415091,0.0,True,35,1.1250318821252745,-25.9332322522985,True,37,1.2997125153969769,-14.433087145196621,True,39,1.4124018817251178,-7.014153285566971
