depart,fin,A_tout_d_un_coup,A_dca,A_ecart_pct,B_salaire_immediat,B_salaire_accumule,B_ecart_pct
1999-01,2009-01,0.7161801991368559,0.6267477665455389,14.269286204918451,82.23992418601145,85.64122077916745,-3.9715648168146878
1999-02,2009-02,0.6687860960744865,0.5908910784699982,13.182635589317538,79.67884331405959,83.48004857004591,-4.553429617133997
1999-03,2009-03,0.583920266179935,0.5349002293880086,9.164332729490754,73.99354563848622,78.15577053455618,-5.325550330579432
1999-04,2009-04,0.6114248432489455,0.5819822262919989,5.059023390548401,82.63019391410737,88.48500587097993,-6.616727771267228
1999-05,2009-05,0.6271849940263517,0.5897749449859785,6.343105850531283,85.64273622244734,88.74447170844662,-3.4951309374959827
1999-06,2009-06,0.6170277899273913,0.5799000214768228,6.402443020439219,86.15539123455008,88.14070780394685,-2.25244001195537
1999-07,2009-07,0.5941307211199071,0.5748537605100277,3.353367749177849,87.15453733568756,88.9341874697531,-2.0010866289983276
1999-08,2009-08,0.6743429208087633,0.6056597010886754,11.340232740700706,93.51193931690815,97.14436870092337,-3.7392073597166564
1999-09,2009-09,0.6812138363422267,0.6006555974030037,13.411718676646789,95.19667843217886,97.0582372556887,-1.9179812823158726
1999-10,2009-10,0.708653868577344,0.5897601393001485,20.159675324663915,96.1836120902559,98.17631104874903,-2.029714640127045
1999-11,2009-11,0.6478170301054471,0.5829208331980523,11.132934904960878,97.91694085440453,101.41312630038206,-3.4474683638308856
1999-12,2009-12,0.644752623658212,0.5998071461633008,7.493321442134748,102.71960342856602,105.38651466668412,-2.5306000929559147
2000-01,2010-01,0.6700144527224005,0.6186981281456787,8.294242740078062,106.76437804793939,110.30447781788713,-3.209388993067408
2000-02,2010-02,0.6752984270330837,0.6258305246941702,7.904360747358474,108.44340750605699,112.25034577109713,-3.3914713036192534
2000-03,2010-03,0.6803991298111391,0.6681098680100016,1.8394073175032943,116.16489625069224,121.18403413617749,-4.1417484747579225
2000-04,2010-04,0.6920230368465264,0.7121217219772406,-2.8223665295462608,122.62932510438908,129.63783508981203,-5.4062226359823935
2000-05,2010-05,0.6863679472460681,0.724850650762756,-5.309052765034117,123.57143685152153,126.44665345553086,-2.2738574137278422
2000-06,2010-06,0.6920726406966653,0.7225891727415898,-4.223220219193314,122.81948772522999,124.37639222918958,-1.2517685036969595
2000-07,2010-07,0.6455240670867708,0.6910408096279282,-6.58669385468923,117.29016703433268,118.65194658867478,-1.147709408479336
2000-08,2010-08,0.6171795461454916,0.6980326235069443,-11.582994066272079,117.8155020761038,122.18985836623536,-3.5799667407915736
2000-09,2010-09,0.6105376097376528,0.7233614593944985,-15.597160754360162,120.31893067729241,122.90390417097123,-2.103247664193697
2000-10,2010-10,0.6225315546906377,0.7362114383255298,-15.441200410231392,118.9882465597141,121.67344659880645,-2.2068907507373003
2000-11,2010-11,0.6567180231421114,0.7873728141759953,-16.59376456508945,124.55321279079968,129.04374078673223,-3.4798495212208347
2000-12,2010-12,0.7642450178854485,0.857813490496514,-10.907787490834032,133.77834208909428,136.78446796022084,-2.1977099563678437
2001-01,2011-01,0.8123601326320834,0.8862706794485669,-8.339500395349898,137.1005368422785,139.716389396408,-1.8722589135249712
2001-02,2011-02,0.8231052643502483,0.9007796411248794,-8.623016465784294,138.66050274368948,141.14370230566624,-1.7593413814518288
2001-03,2011-03,0.860453857662989,0.8742950734608055,-1.5831286504941033,133.7303531385196,137.2579649073318,-2.5700597930282787
2001-04,2011-04,0.8342439106497478,0.8644243167403864,-3.491387910562771,132.68167410221372,137.82711850442342,-3.7332597953461333
2001-05,2011-05,0.7772900019980682,0.8805852691793467,-11.730296973687004,134.8918059064546,136.19149335267272,-0.9543088295922653
2001-06,2011-06,0.7440905189807886,0.8574510247828367,-13.220639141548462,129.55380751890783,130.2241760375748,-0.5147803879930413
2001-07,2011-07,0.8031407250673173,0.9143872458397888,-12.166237147183834,135.038516590925,136.20102526125234,-0.8535241699520801
2001-08,2011-08,0.76556654282042,0.8469339741006647,-9.607293339087796,120.68206608984157,124.16307989059982,-2.8035820340679196
2001-09,2011-09,0.9021711325418812,0.9014132060566262,0.08408202588585656,125.07833924524435,127.66557318162519,-2.0265713550669417
2001-10,2011-10,0.8954050307109359,0.9515982607022961,-5.905142149996012,129.0996882644412,130.40813722539266,-1.0033491688405838
2001-11,2011-11,0.8623418902638688,1.0080767148065686,-14.456719652597439,133.17872263397248,136.6697116938998,-2.5543253268479282
2001-12,2011-12,0.8924653799547948,1.0840325270516715,-17.671715775715413,139.54061902803895,141.974414202158,-1.714249139745383
2002-01,2012-01,0.9471794524320938,1.1923606801861661,-20.5626730089583,149.10675669120624,150.89583643375335,-1.1856389048431781
2002-02,2012-02,0.9814684721267519,1.2522964896503477,-21.626509357956703,151.52177513835574,152.56428151031895,-0.6833227028258948
2002-03,2012-03,0.9709278394623859,1.3427038173104042,-27.68860660519532,156.2674798255765,158.39260507496166,-1.3416821122295697
2002-04,2012-04,1.0204156555235082,1.4001500093897934,-27.120976418218156,156.80973376512077,161.12504583497437,-2.6782379160800285
2002-05,2012-05,1.0823044855117212,1.4369846567979376,-24.682251797771983,156.14637225813297,155.55950379412067,0.3772630084941664
2002-06,2012-06,1.2107183078187824,1.4890213374686507,-18.69033187415473,157.52850760635846,155.8161156895386,1.0989825469861936
2002-07,2012-07,1.4820544063615264,1.5891802887161708,-6.740952119484611,165.3857110897683,163.05983709502152,1.4263929341419734
2002-08,2012-08,1.4761842686806095,1.628113153380309,-9.331592486938812,168.73528659104232,167.26048053692284,0.8817420883792781
2002-09,2012-09,1.5413710887162198,1.6180077297277862,-4.736481761088973,166.90255276284793,165.08371066174425,1.1017695772725267
2002-10,2012-10,1.5496278138766126,1.5973755163461694,-2.989134488474865,164.86649308252908,161.1404504003907,2.31229506488293
2002-11,2012-11,1.4564396921939762,1.56328508971188,-6.834671309862994,161.36358562469283,160.84080087431184,0.3250324218352585
2002-12,2012-12,1.497999702146541,1.561667904569496,-4.076936090999849,160.8789104726468,160.56277629989373,0.1968913219104973
2003-01,2013-01,1.6084906562083774,1.603230238401418,0.3281136845450616,164.90445239569965,163.7880609489234,0.6816073407965861
2003-02,2013-02,1.7801002181909955,1.6244408262330312,9.582336853656148,167.59000420676279,165.06589421739844,1.5291529490883082
2003-03,2013-03,1.861947046915474,1.6943353550237839,9.892474438116029,176.56604608223014,173.9200521861212,1.5213851783331567
2003-04,2013-04,1.7950413801678808,1.6840358387794585,6.59163770937774,177.2767179160304,177.63732550408892,-0.20300214892067237
2003-05,2013-05,1.902524001478297,1.743115850170876,9.145011864345932,185.15509019521446,181.2894498918452,2.132302958432186
2003-06,2013-06,1.7687947017606203,1.6750826487140233,5.594473390225874,179.24219172411972,174.13950999251102,2.930226306383976
2003-07,2013-07,1.7822177960839498,1.727452327312404,3.170302757746768,185.82000525869498,181.81971219913265,2.2001426639489674
2003-08,2013-08,1.7268195281595615,1.6955298326794404,1.845422880626879,182.3596051521229,179.88905099245585,1.373376615217481
2003-09,2013-09,1.7044832579625864,1.7059930883251881,-0.08850155214192856,183.11443474709216,180.95018602831888,1.1960466945497128
2003-10,2013-10,1.736990160414794,1.7022697466405892,2.0396540467646274,182.42491194515728,178.45963002887234,2.221948972797616
2003-11,2013-11,1.802301381926214,1.7846759661919418,0.9875975285239313,190.87082892580477,190.29774082973734,0.3011533891935203
2003-12,2013-12,1.8349430541431764,1.7801982035050554,3.075210981020704,189.90784481216494,189.4969026107653,0.21685958753834278
2004-01,2014-01,1.826381215245195,1.8041478479154576,1.2323473021031095,192.1680473582564,190.5929554264532,0.8264166575721044
2004-02,2014-02,1.7984835342549341,1.7925309334531974,0.33207799601369103,190.4392042616286,187.56600047341234,1.5318361435251227
2004-03,2014-03,1.7990893749124228,1.8144010593848712,-0.8438974609968231,192.5105265362613,189.78381221634473,1.4367475750820313
2004-04,2014-04,1.7481053962504145,1.8197743629601997,-3.9383435753651552,192.35183708535143,193.02942830458946,-0.351030008838249
2004-05,2014-05,1.8326951057513523,1.862239281133672,-1.5864865316520538,195.54780136789142,192.0281688327366,1.8328730396947934
2004-06,2014-06,1.8808172444411548,1.9378876380969556,-2.9449794990098144,203.07051622975274,196.75347459425905,3.2106379053892464
2004-07,2014-07,1.980996178927672,1.9639834056996874,0.8662381351396187,206.15747994412646,201.0626373400224,2.5339579105828847
2004-08,2014-08,2.0206155316723584,1.9661433722692176,2.770507999132943,207.64865195752532,203.30958618767406,2.1342160255276355
2004-09,2014-09,2.072596064892991,2.046123589922139,1.2937867048324003,217.25609033208917,212.9057362571371,2.04332403223646
2004-10,2014-10,2.096843207502284,2.007425131204038,4.45436668637369,213.98452544894516,207.65234937551017,3.049412199032786
2004-11,2014-11,2.234340313690809,2.1349635942494314,4.654726652438046,228.71777023154496,226.19489281571228,1.1153556052603486
2004-12,2014-12,2.284067839892718,2.1433170022615577,6.566963145565707,231.60218817614287,228.78085191421138,1.233204718981229
2005-01,2015-01,2.3790484742877043,2.2148212806626306,7.414918533559511,241.76702046462597,237.13520368807576,1.9532387872037926
2005-02,2015-02,2.4414008464937,2.296883089682977,6.291907387879703,252.96058534187873,246.15045924568028,2.7666517938125468
2005-03,2015-03,2.603168640690821,2.37824618230508,9.45749267082765,264.0147336298795,257.6050792700778,2.4881707992573165
2005-04,2015-04,2.6407233974263566,2.3608488890689614,11.854825171286931,264.6464888773218,262.51980203813224,0.8101053035536987
2005-05,2015-05,2.501645065931019,2.2746426884875266,9.979693891810015,257.3784839634025,249.6449901008281,3.0977965387773088
2005-06,2015-06,2.321266423062061,2.2333236318612446,3.937754024817486,253.42666438615672,243.81957930710254,3.940243481001815
2005-07,2015-07,2.303857008237102,2.2752845722855803,1.2557741699456892,257.15289563756284,251.34829632817636,2.309384783657986
2005-08,2015-08,2.2597618105157995,2.193966177422053,2.998935615819631,246.53272705813495,242.4871712953672,1.6683586769379977
2005-09,2015-09,2.123480753587643,2.073968055870963,2.3873413853468195,232.2810035253573,228.61580518184206,1.6032130152155988
2005-10,2015-10,2.2356177215603066,2.155465322090908,3.718565947126762,241.16125155152085,235.6644187968641,2.332483105731309
2005-11,2015-11,2.2719532119972707,2.303204454635849,-1.356859247804787,258.4986395642385,256.8266028158543,0.6510372095615891
2005-12,2015-12,2.180227620853318,2.236662503718985,-2.5231738258155056,250.6078757365868,249.17810231791668,0.5737957731317467
2006-01,2016-01,2.062125177481034,2.0960450455562785,-1.6182795377969739,234.14809736891812,231.45698322895774,1.1626843581981294
2006-02,2016-02,1.9765009379791683,2.0314610459029607,-2.7054472954150754,226.85292670194596,222.55671618444148,1.9303890671823254
2006-03,2016-03,2.0788598237819604,2.1446255168542185,-3.066535045648655,239.34366379939,235.80219261046503,1.5018822131036336
2006-04,2016-04,2.123537983321679,2.1641088227376732,-1.874713461251487,240.4345389845392,240.03313270635013,0.16722952938339475
2006-05,2016-05,2.226407851762967,2.1581093242851557,3.1647390013679777,239.30158240748707,232.4332302491259,2.954978576427969
2006-06,2016-06,2.309847916434687,2.1761474546283934,6.143906357169371,242.3298697351335,231.8222005358835,4.532641470471921
2006-07,2016-07,2.4106700706989317,2.2566383516543107,6.825715734721172,252.95555307053945,245.26863782058797,3.1340799697246347
2006-08,2016-08,2.376492455809415,2.229683210137461,6.584309600775229,251.11077480139414,244.71801786275017,2.612295160967415
2006-09,2016-09,2.289541616565436,2.2039438424540725,3.883845516501494,248.39678250228758,242.61119658759168,2.3847151310706582
2006-10,2016-10,2.220685244647297,2.2238073830468807,-0.14039608031636286,250.4128290324455,243.6860957783502,2.7604091372590123
2006-11,2016-11,2.2968617379351914,2.294198662279069,0.11607868576981595,257.37520268372106,255.8418591410549,0.5993325516841175
2006-12,2016-12,2.4508496964326696,2.4548715914937813,-0.16383321535219375,272.4202720091246,270.49237906580237,0.7127346618712727
2007-01,2017-01,2.408772713492631,2.478217427978947,-2.8022042659489266,272.54115304229856,268.1489755626147,1.6379616854655055
2007-02,2017-02,2.4448446817324085,2.571543721603143,-4.926964251331034,277.7284902256383,271.7624758582499,2.1953046860304193
2007-03,2017-03,2.573168022277724,2.6462376323781274,-2.7612641134854177,280.04070512890485,275.3977144529551,1.6859220074402215
2007-04,2017-04,2.5104164222535834,2.6882848248113236,-6.616426984079848,277.4445527516693,275.6158301004778,0.6635042154599091
2007-05,2017-05,2.394953486420636,2.698810946978853,-11.258938344620484,272.0742257822429,263.23554905377193,3.3577063433273047
2007-06,2017-06,2.3723932335777036,2.7469091804824024,-13.634085522948657,271.0022398372254,259.00843506287663,4.630661843672068
2007-07,2017-07,2.3735116434877024,2.7598915354374185,-13.999821623007303,265.28234726229294,257.30931520116854,3.098617729751041
2007-08,2017-08,2.4065627891559074,2.7724883691604414,-13.198453204524817,258.2275445461936,251.33888666374799,2.7407847523656548
2007-09,2017-09,2.402493044659186,2.8400447737564387,-15.406508134676933,258.8781986604157,251.6764849267279,2.8614964706712653
2007-10,2017-10,2.485096807702312,3.008304354498378,-17.39210814935341,268.0747572832567,259.7406861408105,3.208612122448984
2007-11,2017-11,2.7386942241845134,3.1566087066573716,-13.239350242919423,271.1062446259961,268.4905638898523,0.9742170072006395
2007-12,2017-12,2.7379965358895597,3.319162462297476,-17.509414890334764,274.9593480954907,269.3969981510195,2.0647408778300846
2008-01,2018-01,3.0187783694925687,3.503560698908747,-13.836846884575838,278.0282354639448,270.3207044593138,2.8512544091091163
2008-02,2018-02,2.949895372383339,3.4616116936693637,-14.782603208264455,264.9386775702179,253.56528769780599,4.485389138108875
2008-03,2018-03,3.1892778960876136,3.570745703789037,-10.683141263647954,263.28952281337087,253.6360186124756,3.8060462601901213
2008-04,2018-04,3.06982894674487,3.641620977747213,-15.701579996830596,258.0975112623487,249.07443550419188,3.622642259488318
2008-05,2018-05,3.1270216695671493,3.936728378818258,-20.568010574663255,270.92241849300405,255.61818675640026,5.9871450974607
2008-06,2018-06,3.3775633889554526,4.152655004255915,-18.6649652934351,277.8619598588349,260.01210879562393,6.865007612872898
2008-07,2018-07,3.6973826938274033,4.286243559972468,-13.738390222249697,279.6991512664345,264.5997998586292,5.706486329873495
2008-08,2018-08,3.56254956296112,4.489123610966587,-20.64042179061225,287.18592935841247,270.1979689728221,6.287227269017381
