depart,fin,A_final,drawdown_t0_pct,B10_declenche,B10_mois_attente,B10_final,B10_ecart_pct,B20_declenche,B20_mois_attente,B20_final,B20_ecart_pct,B30_declenche,B30_mois_attente,B30_final,B30_ecart_pct
1999-01,2009-01,0.7161801991368559,0.0,True,23,0.5456223224618612,-23.814938877192084,True,26,0.6244370261578939,-12.81006834446574,True,32,0.7220256517606084,0.8161985811388606
1999-02,2009-02,0.6687860960744865,0.0,True,22,0.5254769321348427,-21.428251092660666,True,25,0.6013816504726869,-10.0786254375558,True,31,0.6953671226241762,3.9745184156354307
1999-03,2009-03,0.583920266179935,0.0,True,21,0.4847487977901306,-16.98373461818582,True,24,0.5547703700242977,-4.992102148866795,True,30,0.641471311300786,9.855976655401232
1999-04,2009-04,0.6114248432489455,0.0,True,20,0.5371102500528487,-12.154330007464075,True,23,0.6146953917659177,0.53490605641624,True,29,0.7107615696731673,16.24675992823148
1999-05,2009-05,0.6271849940263517,0.0,True,19,0.5529121879295607,-11.842248587610571,True,22,0.6327799068032502,0.8920673852511607,True,28,0.7316723792658434,16.659739348786374
1999-06,2009-06,0.6170277899273913,0.0,True,18,0.5526157876088621,-10.439076386836454,True,21,0.6324406916956753,2.49792667686779,True,27,0.7312801507481963,18.516566463602825
1999-07,2009-07,0.5941307211199071,0.0,True,17,0.5553268941901228,-6.53119348156933,True,20,0.6355434154324188,6.970300110798999,True,26,0.7348677761362027,23.687893928631265
1999-08,2009-08,0.6743429208087633,0.0,True,16,0.5917599147454501,-12.246440722513785,True,19,0.6772391563743744,0.4294900229897092,True,25,0.7830798347876454,16.124869205784798
1999-09,2009-09,0.6812138363422267,0.0,True,15,0.5989862574858801,-12.070744084980278,True,18,0.6855093384858242,0.6305658978775552,True,24,0.7926425022449858,16.35736973592237
1999-10,2009-10,0.708653868577344,0.0,True,14,0.6015098197668878,-15.119376829982311,True,17,0.6883974272996517,-2.858439384287581,True,23,0.795981949011903,12.323093728377476
1999-11,2009-11,0.6478170301054471,0.0,True,13,0.6087685845441426,-6.027696671535243,True,16,0.6967047147849534,7.546526628290207,True,22,0.8055875207664215,24.35417460934819
1999-12,2009-12,0.644752623658212,0.0,True,12,0.6345448519360353,-1.583207473318926,True,15,0.7262043431781251,12.633018700687181,True,21,0.8396974270100173,30.235596754259507
2000-01,2010-01,0.6700144527224005,0.0,True,11,0.6554594750829524,-2.172337862311524,True,14,0.7501400667426369,11.958788902936401,True,20,0.8673738870581413,29.45599658840652
2000-02,2010-02,0.6752984270330837,0.0,True,10,0.6617965600786763,-1.9993926261205441,True,13,0.7573925385465488,12.156715938780515,True,19,0.8757597938217336,29.68485617083023
2000-03,2010-03,0.6803991298111391,0.0,True,9,0.7046387541581889,3.5625595749627204,True,12,0.8064232529505772,18.522087642060757,True,18,0.932453154466407,37.04502454687608
2000-04,2010-04,0.6920230368465264,0.0,True,8,0.7394338045792069,6.851038940658127,True,11,0.8462444202955647,22.28558519551722,True,17,0.9784976763344339,41.39669118434859
2000-05,2010-05,0.6863679472460681,0.0,True,7,0.7406081800944666,7.902500847545113,True,10,0.8475884334052787,23.488929925425527,True,16,0.9800517352721091,42.788097725774655
2000-06,2010-06,0.6920726406966653,0.0,True,6,0.7315486228319102,5.704022932550412,True,9,0.8372202304149525,20.97288365166068,True,15,0.9680631628331272,39.87883726463161
