mois,us_tr_usd,us_ipc,jp_prix_jpy,usd_par_eur,jpy_par_usd,cash_usd_pct,cash_eur_pct,cash_jpy_pct,us_tr_eur,jp_prix_eur
1871-02,1.0183933933933933,12.84464132,,,,,,,,
1871-03,1.0481908297186076,13.0349719,,,,,,,,
1871-04,1.082675777478692,12.55922645,,,,,,,,
1871-05,1.115034230743702,12.27381157,,,,,,,,
1871-06,1.1108279973629815,12.08348099,,,,,,,,
1871-07,1.0950797442883335,12.08348099,,,,,,,,
1871-08,1.1139870407894357,11.8932314,,,,,,,,
1871-09,1.130654209458171,12.17864628,,,,,,,,
1871-10,1.077314117620785,12.36889587,,,,,,,,
1871-11,1.0941349262837092,12.36889587,,,,,,,,
1871-12,1.1228245274398554,12.65439174,,,,,,,,
1872-01,1.1564480685366962,12.65439174,,,,,,,,
1872-02,1.166495603453149,12.65439174,,,,,,,,
1872-03,1.210119670590485,12.84464132,,,,,,,,
1872-04,1.2492024541977005,13.13013719,,,,,,,,
1872-05,1.2547631736165632,13.13013719,,,,,,,,
1872-06,1.248303646339258,13.0349719,,,,,,,,
1872-07,1.2467483362405865,12.84464132,,,,,,,,
1872-08,1.237921276533184,12.93980661,,,,,,,,
1872-09,1.221751339223971,13.0349719,,,,,,,,
1872-10,1.2327203626113132,12.74947603,,,,,,,,
1872-11,1.2338923150687255,13.13013719,,,,,,,,
1872-12,1.2700366354091226,12.93980661,,,,,,,,
1873-01,1.2863713439431075,12.93980661,,,,,,,,
1873-02,1.3028390788582305,13.22522149,,,,,,,,
1873-03,1.2992025134682135,13.22522149,,,,,,,,
1873-04,1.2879732679995546,13.22522149,,,,,,,,
1873-05,1.2971837249838438,12.93980661,,,,,,,,
1873-06,1.28594574716839,12.55922645,,,,,,,,
1873-07,1.29019565153696,12.55922645,,,,,,,,
1873-08,1.297118230485515,12.55922645,,,,,,,,
1873-09,1.2049562837772259,12.55922645,,,,,,,,
1873-10,1.1070590548392614,12.27381157,,,,,,,,
1873-11,1.0746377251206691,11.8932314,,,,,,,,
1873-12,1.1830324956619247,12.17864628,,,,,,,,
1874-01,1.2546300505464416,12.36889587,,,,,,,,
1874-02,1.2997267315478425,12.36889587,,,,,,,,
1874-03,1.288218734445596,12.36889587,,,,,,,,
1874-04,1.2603027893545442,12.17864628,,,,,,,,
1874-05,1.234959744133828,12.08348099,,,,,,,,
1874-06,1.2370271990626234,11.79806612,,,,,,,,
1874-07,1.2446546089223145,11.8932314,,,,,,,,
1874-08,1.255119754176706,11.79806612,,,,,,,,
1874-09,1.2824965273382787,11.79806612,,,,,,,,
1874-10,1.2874400712211906,11.60773554,,,,,,,,
1874-11,1.3066237808917052,11.51265124,,,,,,,,
1874-12,1.3059089976417644,11.51265124,,,,,,,,
1875-01,1.3137593132938878,11.51265124,,,,,,,,
1875-02,1.3187027908861284,11.51265124,,,,,,,,
1875-03,1.3439924829298884,11.51265124,,,,,,,,
1875-04,1.3693692473134593,11.60773554,,,,,,,,
1875-05,1.324153067417849,11.32232066,,,,,,,,
1875-06,1.3052683340738025,11.13207107,,,,,,,,
1875-07,1.3160089838928077,11.13207107,,,,,,,,
1875-08,1.3297486372933591,11.22715537,,,,,,,,
1875-09,1.325414139184268,11.13207107,,,,,,,,
1875-10,1.3118920841792414,11.13207107,,,,,,,,
1875-11,1.340939307167125,11.03690579,,,,,,,,
1875-12,1.3486105846680811,10.9417405,,,,,,,,
1876-01,1.3841003368961886,10.84657521,,,,,,,,
1876-02,1.4104789307608019,10.84657521,,,,,,,,
1876-03,1.4151597236726188,10.84657521,,,,,,,,
1876-04,1.3696612403172908,10.75149091,,,,,,,,
1876-05,1.327056570399587,10.37091074,,,,,,,,
1876-06,1.3254691821574824,10.08541488,,,,,,,,
1876-07,1.3174844280481,10.08541488,,,,,,,,
1876-08,1.2708904665683503,10.18058017,,,,,,,,
1876-09,1.2013633799749162,10.27574545,,,,,,,,
1876-10,1.2029912436334187,10.46599504,,,,,,,,
1876-11,1.1882406698014012,10.56116033,,,,,,,,
1876-12,1.1898910040650141,10.75149091,,,,,,,,
1877-01,1.1879743267493414,10.9417405,,,,,,,,
1877-02,1.1255554784966877,10.65632562,,,,,,,,
1877-03,1.0759192682111864,10.18058017,,,,,,,,
1877-04,1.0053028739697862,10.46599504,,,,,,,,
1877-05,1.0125462977385822,10.65632562,,,,,,,,
1877-06,0.9472531336978998,10.08541488,,,,,,,,
1877-07,0.9957087747678307,10.18058017,,,,,,,,
1877-08,1.0721832846708323,9.8,,,,,,,,
1877-09,1.145346611268248,9.704834711,,,,,,,,
1877-10,1.1762279603575612,9.704834711,,,,,,,,
1877-11,1.1643590739902068,9.514585124,,,,,,,,
1877-12,1.1664425385909052,9.514585124,,,,,,,,
1878-01,1.172101280342223,9.229089256,,,,,,,,
1878-02,1.1525151674089147,9.134004959,,,,,,,,
1878-03,1.1799236452502038,8.94367438,,,,,,,,
1878-04,1.2183652419950195,8.848509091,,,,,,,,
